,city,date,SO2,O3,NO2,PM10,PM25,avg temp,max temp,min temp,rain,wind,humid
66,경남,2021-09-21,0.0023666666666666,0.0336666666666666,0.0076,14.0,10.333333333333334,22.4,26.6,18.4,10.4,1.45,88.4
67,경북,2021-09-21,0.0021333333333333,0.0213333333333333,0.0045666666666666,17.333333333333332,9.666666666666666,21.25,26.25,17.65,11.4,0.8500000000000001,90.5
68,광주,2021-09-21,0.003,0.0486666666666666,0.0038,11.666666666666666,7.0,22.5,26.0,20.1,32.0,2.4,92.9
69,대구,2021-09-21,0.0011,0.0356666666666666,0.0050666666666666,13.0,10.0,22.9,26.5,20.0,9.0,1.5,90.6
70,대전,2021-09-21,0.0023,0.04,0.0058666666666666,13.666666666666666,9.666666666666666,22.6,26.2,20.6,34.3,2.0,88.3
71,부산,2021-09-21,0.0045,0.04,0.0076333333333333,17.333333333333332,6.333333333333333,23.0,25.0,21.4,7.9,4.5,92.9
72,서울,2021-09-21,0.0024666666666666,0.0413333333333333,0.0064333333333333,16.666666666666668,9.0,22.0,26.2,17.4,68.1,2.9,85.1
73,울산,2021-09-21,0.0021666666666666,0.0296666666666666,0.0064333333333333,13.666666666666666,7.333333333333333,23.5,25.6,20.5,3.4,2.5,91.5
74,인천,2021-09-21,0.0026999999999999,0.0426666666666666,0.0084333333333333,15.333333333333334,8.666666666666666,21.8,24.8,18.1,74.6,4.2,77.5
75,전남,2021-09-21,0.0026999999999999,0.0316666666666666,0.0031333333333333,15.0,6.666666666666667,22.8,26.266666666666666,18.766666666666666,28.16666666666667,2.733333333333333,86.3
76,전북,2021-09-21,0.0020499999999999,0.043,0.0047333333333333,19.33333333333333,10.0,22.566666666666663,26.33333333333333,19.933333333333334,49.53333333333334,2.533333333333333,82.86666666666666
77,제주,2021-09-21,0.0017666666666666,0.048,0.0052,21.666666666666668,11.0,24.3,27.75,21.65,16.55,2.85,83.15
78,충남,2021-09-21,0.0034,0.049,0.0042333333333333,18.0,8.333333333333334,22.23333333333333,26.166666666666668,19.73333333333333,40.3,2.1,86.66666666666667
79,충북,2021-09-21,0.0019333333333333,0.035,0.0056666666666666,16.0,8.666666666666666,21.46666666666667,25.23333333333333,18.633333333333333,32.800000000000004,1.4666666666666668,86.03333333333335
80,강원,2021-09-20,0.002,0.0276666666666666,0.0039,10.666666666666666,3.333333333333333,21.566666666666663,27.1,16.066666666666666,0.0,1.7666666666666666,75.60000000000001
81,경기,2021-09-20,0.00195,0.036,0.0055,9.5,5.0,22.9,28.066666666666663,16.433333333333334,NaN,2.1333333333333333,70.03333333333335
82,경남,2021-09-20,0.0025,0.0336666666666666,0.0061333333333333,14.333333333333334,11.0,21.1,26.0,15.05,0.0,1.25,83.9
83,경북,2021-09-20,0.0023333333333333,0.0266666666666666,0.0040666666666666,14.333333333333334,7.333333333333333,21.05,26.35,15.15,NaN,1.0499999999999998,76.75
84,광주,2021-09-20,0.0032,0.042,0.0052666666666666,17.666666666666668,12.0,23.9,28.3,19.2,NaN,2.0,78.6
85,대구,2021-09-20,0.0012,0.0333333333333333,0.0053999999999999,15.0,9.0,21.7,26.3,16.6,NaN,2.6,79.1
86,대전,2021-09-20,0.0023333333333333,0.0396666666666666,0.0068,12.333333333333334,7.333333333333333,23.6,28.2,18.9,NaN,3.4,75.0
87,부산,2021-09-20,0.0045333333333333,0.039,0.0068,16.333333333333332,5.333333333333333,23.1,27.4,19.9,NaN,2.6,79.4
88,서울,2021-09-20,0.0023666666666666,0.034,0.0074333333333333,11.666666666666666,5.333333333333333,23.7,28.4,19.0,NaN,2.7,63.6
89,울산,2021-09-20,0.0016333333333333,0.0296666666666666,0.0049333333333333,13.666666666666666,5.0,21.5,25.6,18.9,0.0,1.5,87.3
90,인천,2021-09-20,0.0026,0.034,0.0114333333333333,10.333333333333334,5.666666666666667,23.8,27.7,20.2,0.3,3.5,53.1
91,전남,2021-09-20,0.0031666666666666,0.0273333333333333,0.0038999999999999,20.33333333333333,10.333333333333334,23.1,27.2,17.5,NaN,3.333333333333333,78.93333333333334
92,전북,2021-09-20,0.00215,0.033,0.0055,21.0,12.333333333333334,23.83333333333333,28.866666666666664,18.366666666666667,NaN,2.2666666666666666,68.2
93,제주,2021-09-20,0.0018333333333333,0.0393333333333333,0.0057333333333333,24.666666666666668,10.333333333333334,25.7,29.55,22.35,NaN,1.9,78.9
94,충남,2021-09-20,0.0034,0.04,0.0050666666666666,15.666666666666666,8.666666666666666,22.866666666666664,28.46666666666667,16.933333333333334,NaN,1.4333333333333331,70.73333333333333
95,충북,2021-09-20,0.0016666666666666,0.0346666666666666,0.0058,13.0,6.666666666666667,21.366666666666664,26.53333333333333,15.433333333333332,NaN,1.8333333333333333,73.23333333333333
96,강원,2021-09-03,0.0019666666666666,0.024,0.0030666666666666,10.666666666666666,3.6666666666666665,21.933333333333334,26.666666666666668,17.5,NaN,1.6666666666666667,72.53333333333333
97,경기,2021-09-03,0.0019,0.0286666666666666,0.0108333333333333,13.0,5.0,23.3,28.73333333333333,18.9,NaN,1.5,70.63333333333334
98,경남,2021-09-03,0.0024,0.0276666666666666,0.009,12.0,8.333333333333334,20.05,22.4,18.1,1.85,0.75,93.05
99,경북,2021-09-03,0.0022333333333333,0.0253333333333333,0.0064,16.333333333333332,7.0,20.8,25.4,17.15,0.15,0.95,81.55
100,광주,2021-09-03,0.003,0.034,0.0084333333333333,7.0,4.0,22.4,27.5,19.7,1.3,1.5,94.1
101,대구,2021-09-03,0.0011333333333333,0.0223333333333333,0.0090999999999999,13.666666666666666,5.666666666666667,20.5,22.7,19.3,3.8,1.4,86.5
102,대전,2021-09-03,0.0037333333333333,0.0373333333333333,0.0065333333333333,10.333333333333334,5.333333333333333,23.7,28.1,19.9,NaN,2.3,75.1
103,부산,2021-09-03,0.0032333333333333,0.034,0.0099333333333333,11.666666666666666,5.333333333333333,22.1,25.5,20.0,0.8,3.2,81.0
104,서울,2021-09-03,0.0023333333333333,0.0293333333333333,0.0112333333333333,15.333333333333334,5.666666666666667,24.3,29.2,20.6,NaN,2.4,60.3
105,울산,2021-09-03,0.0016333333333333,0.0296666666666666,0.0075333333333333,13.333333333333334,6.0,20.6,22.7,19.4,1.7,2.0,94.1
106,인천,2021-09-03,0.0028,0.0296666666666666,0.0194,14.333333333333334,7.333333333333333,24.3,28.3,21.3,NaN,2.4,54.3
107,전남,2021-09-03,0.004,0.0249999999999999,0.0078333333333333,14.0,6.666666666666667,22.6,26.266666666666666,20.166666666666668,1.1666666666666667,1.5,88.2
108,전북,2021-09-03,0.0019333333333333,0.0276666666666666,0.0058666666666666,17.666666666666668,6.666666666666667,23.366666666666664,28.566666666666663,20.0,2.7999999999999994,1.2,77.83333333333333
109,제주,2021-09-03,0.0016666666666666,0.0376666666666666,0.0056666666666666,16.0,8.333333333333334,24.25,26.6,22.9,54.4,2.6,91.6
110,충남,2021-09-03,0.0033666666666666,0.037,0.0067,17.333333333333332,8.0,22.83333333333333,28.0,19.0,NaN,1.2333333333333334,76.53333333333333
111,충북,2021-09-03,0.0018,0.0276666666666666,0.0059333333333333,15.0,6.0,22.266666666666666,27.933333333333334,18.03333333333333,NaN,1.3666666666666665,71.73333333333333
112,강원,2021-09-04,0.0019666666666666,0.026,0.0026999999999999,14.666666666666666,3.333333333333333,20.866666666666664,26.133333333333336,16.2,0.85,2.0,72.89999999999999
113,경기,2021-09-04,0.0018,0.0316666666666666,0.0076666666666666,9.333333333333334,4.333333333333333,21.73333333333333,28.03333333333333,15.8,NaN,1.6666666666666667,68.33333333333333
114,경남,2021-09-04,0.0023666666666666,0.0303333333333333,0.0075,14.333333333333334,8.666666666666666,21.85,26.55,17.95,NaN,0.95,82.15
115,경북,2021-09-04,0.0020333333333333,0.0276666666666666,0.0051666666666666,16.333333333333332,6.666666666666667,20.35,26.5,15.15,NaN,0.95,79.5
116,광주,2021-09-04,0.0034,0.0383333333333333,0.0081333333333333,13.666666666666666,7.0,23.4,26.8,20.1,0.0,1.0,88.6
117,대구,2021-09-04,0.0011333333333333,0.028,0.0076,16.333333333333332,6.333333333333333,22.4,26.8,18.8,NaN,2.0,66.4
118,대전,2021-09-04,0.003,0.0336666666666666,0.0094666666666666,10.333333333333334,4.666666666666667,23.2,28.5,18.1,NaN,1.5,75.4
119,부산,2021-09-04,0.0036,0.036,0.0088666666666666,14.333333333333334,5.0,23.0,26.8,20.8,NaN,2.7,73.5
120,서울,2021-09-04,0.0023,0.0333333333333333,0.0084333333333333,10.666666666666666,3.0,23.2,28.6,18.5,NaN,2.7,57.0
121,울산,2021-09-04,0.0018333333333333,0.034,0.0056333333333333,15.333333333333334,6.666666666666667,21.9,25.2,19.0,NaN,2.2,81.0
122,인천,2021-09-04,0.0027666666666666,0.0326666666666666,0.0152,9.666666666666666,5.0,23.8,26.9,19.6,NaN,2.5,47.1
123,전남,2021-09-04,0.0040333333333333,0.0256666666666666,0.0065333333333333,20.0,8.0,23.133333333333336,26.766666666666666,20.066666666666663,0.0,1.6666666666666667,81.66666666666667
124,전북,2021-09-04,0.0018666666666666,0.0283333333333333,0.0064,17.666666666666668,6.666666666666667,23.566666666666663,28.1,19.53333333333333,0.0,1.3,71.43333333333332
125,제주,2021-09-04,0.0017333333333333,0.0376666666666666,0.0044666666666666,22.33333333333333,6.666666666666667,25.05,28.1,23.0,NaN,2.75,82.5
126,충남,2021-09-04,0.0034666666666666,0.037,0.0068,16.666666666666668,7.333333333333333,22.26666666666667,27.96666666666667,17.366666666666664,NaN,1.1666666666666667,74.96666666666665
127,충북,2021-09-04,0.0015666666666666,0.0263333333333333,0.0059,12.0,5.5,20.9,27.03333333333333,15.466666666666669,NaN,1.3,73.3
128,강원,2021-09-05,0.0020333333333333,0.03,0.0025666666666666,13.0,4.666666666666667,21.366666666666664,25.73333333333333,17.133333333333333,8.15,1.9666666666666668,78.83333333333333
129,경기,2021-09-05,0.0017666666666666,0.0306666666666666,0.0056,10.333333333333334,4.333333333333333,21.633333333333336,27.166666666666668,16.266666666666666,NaN,1.9333333333333336,71.06666666666666
130,경남,2021-09-05,0.0024666666666666,0.0283333333333333,0.0069,15.666666666666666,9.333333333333334,20.55,24.05,18.3,2.9,0.6499999999999999,85.9
131,경북,2021-09-05,0.0019,0.0286666666666666,0.0047,18.33333333333333,7.666666666666667,20.1,25.6,14.8,0.0,1.0,80.6
132,광주,2021-09-05,0.0030333333333333,0.0366666666666666,0.0067,15.333333333333334,8.666666666666666,21.6,24.3,19.2,1.1,1.4,91.1
133,대구,2021-09-05,0.0011,0.0283333333333333,0.0057,15.333333333333334,6.0,21.8,25.1,19.3,0.4,1.7,68.5
134,대전,2021-09-05,0.003,0.031,0.0086,11.333333333333334,4.666666666666667,21.7,24.8,18.4,0.3,1.4,85.4
135,부산,2021-09-05,0.0038,0.038,0.0065333333333333,18.666666666666668,6.333333333333333,22.7,26.3,21.3,0.0,2.8,71.6
136,서울,2021-09-05,0.0022666666666666,0.0336666666666666,0.0068333333333333,10.333333333333334,3.6666666666666665,23.1,27.3,19.4,NaN,3.2,61.1
137,울산,2021-09-05,0.0019,0.0356666666666666,0.0053666666666666,19.33333333333333,7.0,22.3,25.3,20.3,0.0,2.2,80.4
138,인천,2021-09-05,0.0027666666666666,0.0293333333333333,0.0111666666666666,8.0,4.666666666666667,23.4,26.5,20.3,NaN,3.6,48.4
139,전남,2021-09-05,0.0032999999999999,0.0249999999999999,0.0049333333333333,19.666666666666668,8.0,21.8,23.766666666666666,19.966666666666665,0.1,2.066666666666667,83.0
140,전북,2021-09-05,0.0022666666666666,0.0216666666666666,0.0055333333333333,16.666666666666668,6.0,21.3,23.7,18.9,7.333333333333333,1.2666666666666668,81.33333333333333
141,제주,2021-09-05,0.0016,0.0376666666666666,0.0036,19.33333333333333,6.0,24.05,25.9,22.85,12.85,2.6500000000000004,88.25
142,충남,2021-09-05,0.0034,0.031,0.0061333333333333,15.0,6.333333333333333,21.03333333333333,24.166666666666668,18.23333333333333,0.9333333333333332,1.1333333333333333,81.60000000000001
